"iso_code","continent","location","people_vaccinated_per_hundred","people_not_vaccinated","people_vaccinated","population"
"SOM","Africa","Somalia",0.777501398552427,15769649,123570,15893219
"ZAF","Africa","South Africa",0.799744523104456,58834372,474318,59308690
"SSD","Africa","South Sudan",0.00846009404015409,11192782,947,11193729
"ESP","Europe","Spain",31.8925787763789,31843477,14911306,46754783
"LKA","Asia","Sri Lanka",5.32437626236092,20273128,1140122,21413250
"SDN","Africa","Sudan",0.319793244443824,43709042,140227,43849269
"SUR","South America","Suriname",8.3363732753301,537730,48904,586634
"SWE","Europe","Sweden",31.628672171355,6905005,3194265,10099270
"CHE","Europe","Switzerland",26.7699394704654,6337782,2316836,8654618
"SYR","Asia","Syria",0.0142851779793181,17498157,2500,17500657
"TWN","Asia","Taiwan",0.135992383519599,23784386,32389,23816775
"TJK","Asia","Tajikistan",0.739354653907119,9467125,70517,9537642
"TZA","Africa","Tanzania",0,0,0,59734213
"THA","Asia","Thailand",2.02970264546502,68383246,1416732,69799978
"TLS","Asia","Timor",2.32084536141901,1287843,30599,1318442
"TGO","Africa","Togo",1.93266195072992,8118737,160000,8278737
"TON","Oceania","Tonga",15.7837970803334,89014,16683,105697
"TTO","North America","Trinidad and Tobago",4.33507610981421,1338822,60669,1399491
"TUN","Africa","Tunisia",3.14960683220322,11446378,372240,11818618
"TUR","Asia","Turkey",17.5651883841684,69524751,14814316,84339067
"TKM","Asia","Turkmenistan",0.534554806541399,5998947,32240,6031187
"TUV","Oceania","Tuvalu",20.3527815468114,9392,2400,11792
"UGA","Africa","Uganda",0.924973218775278,45317908,423092,45741000
"UKR","Europe","Ukraine",2.14135949301774,42797262,936497,43733759
"ARE","Asia","United Arab Emirates",51.381673137588,4808547,5081853,9890400
"GBR","Europe","United Kingdom",53.2008851191182,31770049,36115955,67886004
"USA","North America","United States",46.9035076930971,175750795,155251852,331002647
"URY","South America","Uruguay",37.9580203049923,2155169,1318558,3473727
"UZB","Asia","Uzbekistan",3.15840842202408,32412105,1057094,33469199
"VUT","Oceania","Vanuatu",0,0,0,307150
"VEN","South America","Venezuela",0.879169015073634,28185943,250000,28435943
"VNM","Asia","Vietnam",0.911976497541576,96450878,887705,97338583
"ESH",NA,NA,0,0,0,0
"YEM","Asia","Yemen",0.0622108895174836,29807413,18555,29825968
"ZMB","Africa","Zambia",0.545981506918315,18283583,100373,18383956
"ZWE","Africa","Zimbabwe",3.84486851075835,14291467,571460,14862927
